MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1140070008841,12.63,0.05,253.4676,39.76023,55502.08654,0
1140070008841,12.63,0.05,253.4676,39.76025,55502.08992,0
1140070008841,12.57,0.05,253.46775,39.76021,55456.16038,0
1140070008841,12.6,0.05,253.46761,39.76045,55456.17378,0
1140070008841,12.57,0.05,253.4677,39.76029,55456.18049,0
1140070008841,12.68,0.05,253.46762,39.76024,55652.4085,0
1140070008841,12.62,0.05,253.4676,39.76023,55652.41538,0
1140070008841,12.66,0.05,253.46762,39.76024,55652.42233,0
1140070008841,12.66,0.05,253.46758,39.76021,55652.4293,0
1140070008841,12.63,0.05,253.46779,39.76052,55677.37557,0
1140070008841,12.67,0.05,253.46768,39.76064,55677.38289,0
1140070008841,12.61,0.05,253.46776,39.7605,55677.39042,0
1140070008841,12.62,0.05,253.46766,39.76071,55677.3989,0
1140070008841,12.66,0.05,253.46781,39.76057,55678.34411,0
1140070008841,12.63,0.05,253.46777,39.76057,55678.34923,0
1140070008841,12.67,0.05,253.46776,39.7606,55678.35445,0
1140070008841,12.67,0.05,253.46787,39.76044,55678.3596,0
1140070008841,12.62,0.05,253.4676,39.7602,55714.34043,0
1140070008841,12.65,0.05,253.46762,39.76018,55714.3499,0
1140070008841,12.64,0.05,253.46763,39.76019,55714.36592,0
1140070008841,12.63,0.05,253.4676,39.76021,55714.37106,0
1140070008841,12.54,0.05,253.46747,39.76021,55721.36715,0
1140070008841,12.6,0.05,253.4676,39.7602,55721.37589,0
1140070008841,12.64,0.05,253.46763,39.76021,55721.38464,0
1140070008841,12.66,0.05,253.46759,39.7602,55721.39338,0
1140070008841,12.61,0.05,253.46763,39.76019,55688.42297,0
1140070008841,12.61,0.05,253.46761,39.76021,55688.42936,0
1140070008841,12.61,0.05,253.46763,39.7602,55688.43579,0
1140070008841,12.6,0.05,253.46762,39.76022,55688.44221,0
1140070008841,12.53,0.05,253.46777,39.76024,55857.10906,0
1140070008841,12.67,0.05,253.4676,39.7602,55857.11532,0
1140070008841,12.68,0.05,253.46764,39.76019,55857.12159,0
1140070008841,12.69,0.05,253.46763,39.76023,55857.12782,0
1140070008841,12.69,0.05,253.46764,39.76017,56008.43188,0
1140070008841,12.64,0.05,253.46759,39.76021,56008.43925,0
1140070008841,12.5,0.05,253.46775,39.76027,56008.4467,0
1140070008841,12.53,0.05,253.46773,39.76027,56008.45414,0
1140070008841,12.65,0.05,253.46761,39.76019,56019.36847,0
1140070008841,12.54,0.05,253.46775,39.76017,56019.38042,0
1140070008841,12.52,0.05,253.46775,39.76023,56019.3923,0
1140070008841,12.69,0.05,253.46763,39.76018,56019.40421,0
1140070008841,12.68,0.05,253.46761,39.76022,56039.46376,0
1140070008841,12.69,0.05,253.46763,39.76022,56039.4705,0
1140070008841,12.53,0.05,253.46773,39.76025,56039.47731,0
1140070008841,12.72,0.05,253.46765,39.76022,56039.4841,0
1140070008841,12.55,0.05,253.46776,39.76024,56047.41412,0
1140070008841,12.54,0.05,253.46776,39.76021,56047.42215,0
1140070008841,12.54,0.05,253.46778,39.76021,56047.43028,0
1140070008841,12.66,0.05,253.46764,39.7602,56047.43823,0
1140070008841,12.61,0.05,253.46773,39.7602,56065.41122,0
1140070008841,12.71,0.05,253.46763,39.7602,56065.41801,0
1140070008841,12.55,0.05,253.46774,39.76022,56065.42489,0
1140070008841,12.54,0.05,253.4678,39.76019,56065.4317,0
1140070008841,12.69,0.05,253.46764,39.76023,56072.38481,0
1140070008841,12.54,0.05,253.4677,39.76017,56072.38994,0
1140070008841,12.55,0.05,253.46773,39.76024,56072.39503,0
1140070008841,12.54,0.05,253.46775,39.76022,56072.40014,0
1140070008841,12.6,0.05,253.46772,39.76019,56088.38245,0
1140070008841,12.56,0.05,253.46777,39.76021,56088.38816,0
1140070008841,12.7,0.05,253.46763,39.76022,56088.39379,0
1140070008841,12.58,0.05,253.46771,39.7603,56088.39965,0
1140070008841,12.68,0.05,253.46763,39.76018,56100.20324,0
1140070008841,12.61,0.05,253.46779,39.76017,56100.21239,0
