# RA = 12 56 11.10 (194.04625)
# Dec = -05 47 21.00 (-5.789167)
# Redshift = 0.0
# nH = 2.24E20 cm^-2 
# NuBlazar (id = 144)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E22 0.0 4.5370E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 2.8760E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 3.1836E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 1.8209E-10   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 6.8747E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
# AGILE Grid (id = 137)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E22     0.0000E00    1.1513E-10   1.5763E-11    54290.5    54647.5
4.8360E22     0.0000E00    1.0742E-10   1.4708E-11    54290.5    54647.5
9.6720E22     0.0000E00    1.0022E-10   1.3723E-11    54290.5    54647.5
2.4180E23     0.0000E00    9.1448E-11   1.2521E-11    54290.5    54647.5
# SWBAT70M  (14-195 keV) (id = 136)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E18     0.0000E00    9.1122E-12   1.5807E-12    53340.5    55469.5
1.6930E19     0.0000E00    1.4038E-11   2.4351E-12    53340.5    55469.5
# SWBAT105 (14-195 keV) (id = 135)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E18     0.0000E00    8.8720E-12   8.3875E-13    53340.5    56535.5
1.6930E19     0.0000E00    1.5785E-11   1.4923E-12    53340.5    56535.5
# IBISSG4CAT (40-100 keV) (id = 134)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.5290E19     0.0000E00    1.4375E-11   2.0536E-12    52671.5    54557.5
# IBISSG4CAT (20-40 keV) (id = 133)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
