# RA = 02 32 48.60 (38.2025)
# Dec = +20 17 17.00 (20.288055)
# Redshift = 0.0
# nH = 7.82E20 cm^-2 
# NuBlazar (id = 67)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.2700E17     1.0160E17    1.3318E-11   4.3716E-13    56575.966099537    56576.361898148
1.0300E18     1.0160E17    1.3344E-11   4.2282E-13    56575.966099537    56576.361898148
1.2330E18     1.0160E17    1.4200E-11   4.5736E-13    56575.966099537    56576.361898148
1.4360E18     1.0160E17    1.3238E-11   4.6997E-13    56575.966099537    56576.361898148
1.6390E18     1.0160E17    1.4072E-11   5.2410E-13    56575.966099537    56576.361898148
1.8430E18     1.0160E17    1.4465E-11   5.7854E-13    56575.966099537    56576.361898148
2.0460E18     1.0160E17    1.4579E-11   6.3024E-13    56575.966099537    56576.361898148
2.2490E18     1.0160E17    1.4345E-11   6.7974E-13    56575.966099537    56576.361898148
2.4520E18     1.0160E17    1.4244E-11   7.6280E-13    56575.966099537    56576.361898148
2.6550E18     1.0160E17    1.4414E-11   8.5965E-13    56575.966099537    56576.361898148
2.8580E18     1.0160E17    1.3864E-11   9.7139E-13    56575.966099537    56576.361898148
3.0610E18     1.0160E17    1.5013E-11   1.1134E-12    56575.966099537    56576.361898148
3.2640E18     1.0160E17    1.5883E-11   1.2635E-12    56575.966099537    56576.361898148
3.4670E18     1.0160E17    1.5027E-11   1.3493E-12    56575.966099537    56576.361898148
3.6730E18     1.0400E17    1.3695E-11   1.3832E-12    56575.966099537    56576.361898148
3.8780E18     1.0160E17    1.7233E-11   1.7083E-12    56575.966099537    56576.361898148
4.0840E18     1.0400E17    1.4958E-11   1.6929E-12    56575.966099537    56576.361898148
4.2970E18     1.0880E17    1.6575E-11   1.8822E-12    56575.966099537    56576.361898148
4.5140E18     1.0880E17    1.4084E-11   1.8786E-12    56575.966099537    56576.361898148
4.7340E18     1.1120E17    1.4120E-11   2.0179E-12    56575.966099537    56576.361898148
4.9590E18     1.1360E17    1.3695E-11   2.1002E-12    56575.966099537    56576.361898148
5.1940E18     1.2090E17    1.4011E-11   2.2622E-12    56575.966099537    56576.361898148
5.4480E18     1.3300E17    1.2480E-11   2.2694E-12    56575.966099537    56576.361898148
5.7230E18     1.4270E17    1.2975E-11   2.4452E-12    56575.966099537    56576.361898148
6.0160E18     1.4990E17    1.6003E-11   2.9532E-12    56575.966099537    56576.361898148
6.3420E18     1.7650E17    1.2363E-11   2.7386E-12    56575.966099537    56576.361898148
6.7030E18     1.8380E17    1.5824E-11   3.6513E-12    56575.966099537    56576.361898148
7.0650E18     1.7890E17    1.6643E-11   4.0130E-12    56575.966099537    56576.361898148
7.4400E18     1.9590E17    1.2088E-11   4.0477E-12    56575.966099537    56576.361898148
7.9380E18     3.0230E17    1.2690E-11   3.4760E-12    56575.966099537    56576.361898148
8.5280E18     2.8770E17    1.4823E-11   4.3381E-12    56575.966099537    56576.361898148
9.1230E18     3.0710E17    1.9329E-11   5.1678E-12    56575.966099537    56576.361898148
9.8750E18     4.4490E17    1.2745E-11   4.4980E-12    56575.966099537    56576.361898148
# VERITAS_2014ApJ_782_13A (id = 66)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.0360E25     0.0000E00    1.6281E-12   3.7989E-13    55118.0    55951.0
1.0320E26     0.0000E00    1.7820E-12   2.9212E-13    55118.0    55951.0
1.5190E26     0.0000E00    1.3901E-12   2.7802E-13    55118.0    55951.0
2.2290E26     0.0000E00    5.8565E-13   2.3154E-13    55118.0    55951.0
3.2880E26     0.0000E00    6.5195E-13   2.4003E-13    55118.0    55951.0
4.8120E26     0.0000E00    6.3448E-13   2.6648E-13    55118.0    55951.0
7.0610E26     0.0000E00    4.7813E-13   2.8688E-13    55118.0    55951.0
1.0370E27     0.0000E00    7.0768E-13   3.5384E-13    55118.0    55951.0
1.8470E27     0.0000E00    2.6185E-13   2.3380E-13    55118.0    55951.0
# HESS_2007A&A_475L_9A (id = 65)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4470E26     0.0000E00    1.8494E-12   7.6175E-13    53614.0    54088.0
2.1240E26     0.0000E00    1.1464E-12   3.4503E-13    53614.0    54088.0
3.1170E26     0.0000E00    6.1882E-13   2.7620E-13    53614.0    54088.0
4.5750E26     0.0000E00    9.3501E-13   2.7499E-13    53614.0    54088.0
6.7160E26     0.0000E00    9.1579E-13   2.8802E-13    53614.0    54088.0
9.8570E26     0.0000E00    6.4892E-13   2.9725E-13    53614.0    54088.0
1.5680E27     0.0000E00    2.5547E-13   2.1484E-13    53614.0    54088.0
2.7890E27     0.0000E00    3.0437E-13   2.1972E-13    53614.0    54088.0
# HESS (id = 64)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4470E26     0.0000E00    1.8925E-12   4.8652E-13    53614.0    54088.0
2.1240E26     0.0000E00    1.1730E-12   2.2036E-13    53614.0    54088.0
3.1170E26     0.0000E00    6.3325E-13   1.7641E-13    53614.0    54088.0
4.5750E26     0.0000E00    9.5681E-13   1.7563E-13    53614.0    54088.0
6.7160E26     0.0000E00    9.3711E-13   1.8395E-13    53614.0    54088.0
9.8570E26     0.0000E00    6.6407E-13   1.8985E-13    53614.0    54088.0
1.5680E27     0.0000E00    2.6901E-13   1.4120E-13    53614.0    54088.0
2.7890E27     0.0000E00    3.2050E-13   1.4440E-13    53614.0    54088.0
# SWBAT70M  (14-195 keV) (id = 63)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E18     0.0000E00    1.0074E-11   1.8698E-12    53340.5    55469.5
1.6930E19     0.0000E00    8.7967E-12   1.6327E-12    53340.5    55469.5
# SWBAT105 (14-195 keV) (id = 62)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E18     0.0000E00    1.0172E-11   1.1360E-12    53340.5    56535.5
1.6930E19     0.0000E00    8.0234E-12   8.9605E-13    53340.5    56535.5
# Fermi3FGL (6Gev) (id = 61)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E24     0.0000E00    3.1231E-13   2.1154E-13    54682.65486    56139.94861
# Fermi3FGL (60Gev) (id = 60)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E25     0.0000E00    7.2990E-13   3.7964E-13    54682.65486    56139.94861
# Fermi3FGL (600 Mev) (id = 59)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E23     0.0000E00    1.1990E-12   3.5494E-13    54682.65486    56139.94861
# Fermi3FGL (2Gev) (id = 58)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E23     0.0000E00    5.9104E-13   2.7016E-13    54682.65486    56139.94861
# Fermi3FGL (200 Mev) (id = 57)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E22 0.0 1.9214E-12   0.0000E00    54682.65486    56139.94861 ; UPPER LIMIT
# Fermi 4FGL-DR3 (30-100 GeV) (id = 56)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3240E25     0.0000E00    1.1897E-12   4.7988E-13 0.0   0.0
# Fermi 4FGL-DR3 (3-10 GeV) (id = 55)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3240E24     0.0000E00    6.1175E-13   1.3352E-13 0.0   0.0
# Fermi 4FGL-DR3 (100-1000 GeV) (id = 54)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.6460E25     0.0000E00    8.1421E-13   7.1437E-13 0.0   0.0
# Fermi 4FGL-DR3 (10-30 GeV) (id = 53)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.1880E24     0.0000E00    7.8943E-13   2.4334E-13 0.0   0.0
# Fermi 4FGL-DR3 (1-3 GeV) (id = 52)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.1880E23     0.0000E00    3.6256E-13   1.0705E-13 0.0   0.0
# Fermi 4FGL-DR3 (0.3-1 GeV) (id = 51)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3230E23     0.0000E00    3.5664E-13   1.5996E-13 0.0   0.0
# Fermi 4FGL-DR3 (0.1-0.3 GeV) (id = 50)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.1880E22 0.0 8.5347E-13   0.0000E00 0.0   0.0 ; UPPER LIMIT
# Fermi 4FGL-DR3 (0.05-0.1 GeV) (id = 49)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.7090E22 0.0 5.1523E-12   0.0000E00 0.0   0.0 ; UPPER LIMIT
# BATPA100 (id = 48)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1470E19     0.0000E00    8.5301E-12   6.4950E-13    53381.425781    56501.425781
# BAT54MCAT (15-50keV) (id = 47)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.6220E18     0.0000E00    6.5676E-12   3.1558E-12    53340.5    54525.5
# BAT54MCAT (15-150keV) (id = 46)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1470E19     0.0000E00    8.7971E-12   4.7790E-12    53340.5    54525.5
# BAT39MCAT (15-30keV) (id = 45)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
5.1290E18     0.0000E00    7.3912E-12   1.2562E-12    53340.5    54525.5
# BAT39MCAT (10-150keV) (id = 44)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
9.3650E18     0.0000E00    5.1210E-12   7.1914E-13    53340.5    54525.5
# 4XMM-DR12 (4.5-12 keV) (id = 43)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.7770E18     0.0000E00    6.3574E-12   7.5631E-14    55066.04206018519    55066.341319444444
1.7770E18     0.0000E00    3.5475E-12   2.6340E-14    59434.97771990741    59436.17065972222
1.7770E18     0.0000E00    6.3543E-12   7.9352E-14    55064.04809027778    55064.2996412037
# 4XMM-DR12 (2-4.5 keV) (id = 42)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E17     0.0000E00    5.4642E-12   3.9014E-14    55066.04206018519    55066.341319444444
7.2540E17     0.0000E00    3.7322E-12   1.4143E-14    59434.97771990741    59436.17065972222
7.2540E17     0.0000E00    5.4027E-12   4.0701E-14    55064.04809027778    55064.2996412037
# 4XMM-DR12 (1-2 keV) (id = 41)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.4190E17     0.0000E00    4.3621E-12   2.2522E-14    55066.04206018519    55066.341319444444
3.4190E17     0.0000E00    3.5772E-12   8.9009E-15    59434.97771990741    59436.17065972222
3.4190E17     0.0000E00    4.3621E-12   2.3487E-14    55064.04809027778    55064.2996412037
# 4XMM-DR12 (0.5-1 keV) (id = 40)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.7100E17     0.0000E00    3.4807E-12   2.0351E-14    55066.04206018519    55066.341319444444
1.7100E17     0.0000E00    3.1034E-12   9.1346E-15    59434.97771990741    59436.17065972222
1.7100E17     0.0000E00    3.4966E-12   2.1338E-14    55064.04809027778    55064.2996412037
# XMMSL2 (2-12 keV) (id = 39)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1850E18     0.0000E00    9.5732E-12   3.1953E-12    52655.93073861    52655.93125944
# XMMSL2 (0.2-2 keV) (id = 38)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.5290E17     0.0000E00    5.3904E-12   8.7593E-13    52655.93073861    52655.93125944
# XMMSL2 (0.2-12 keV) (id = 37)
