# RA = 16 53 52.21 (253.46754)
# Dec = +39 45 37.58 (39.76044)
# Redshift = 0.0
# nH = 1.69E20 cm^-2 
# NuBlazar (id = 124)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4360E18     1.0160E17    1.2861E-11   4.0486E-13    57897.924398148    57898.490405093
1.6390E18     1.0160E17    1.1781E-11   4.1896E-13    57897.924398148    57898.490405093
1.8430E18     1.0160E17    1.0815E-11   4.3817E-13    57897.924398148    57898.490405093
2.0460E18     1.0160E17    1.0443E-11   4.6805E-13    57897.924398148    57898.490405093
2.2490E18     1.0160E17    9.5402E-12   4.8672E-13    57897.924398148    57898.490405093
2.4520E18     1.0160E17    8.5162E-12   5.1837E-13    57897.924398148    57898.490405093
2.6550E18     1.0160E17    8.4232E-12   5.7886E-13    57897.924398148    57898.490405093
2.8580E18     1.0160E17    8.0840E-12   6.5468E-13    57897.924398148    57898.490405093
3.0610E18     1.0160E17    7.5215E-12   6.9985E-13    57897.924398148    57898.490405093
3.2670E18     1.0400E17    7.3483E-12   7.5882E-13    57897.924398148    57898.490405093
3.4750E18     1.0400E17    6.7899E-12   8.0517E-13    57897.924398148    57898.490405093
3.6850E18     1.0640E17    6.8731E-12   8.6725E-13    57897.924398148    57898.490405093
3.8980E18     1.0640E17    5.5786E-12   8.6675E-13    57897.924398148    57898.490405093
4.1150E18     1.1120E17    5.9740E-12   9.5670E-13    57897.924398148    57898.490405093
4.3480E18     1.2090E17    5.6795E-12   9.7766E-13    57897.924398148    57898.490405093
4.5940E18     1.2570E17    6.0099E-12   1.0685E-12    57897.924398148    57898.490405093
4.8820E18     1.6200E17    5.1501E-12   9.8375E-13    57897.924398148    57898.490405093
5.2470E18     2.0310E17    3.9744E-12   9.3200E-13    57897.924398148    57898.490405093
5.6240E18     1.7410E17    5.0266E-12   1.2850E-12    57897.924398148    57898.490405093
6.0570E18     2.5870E17    3.9221E-12   1.1977E-12    57897.924398148    57898.490405093
6.6010E18     2.8530E17    3.4342E-12   1.4848E-12    57897.924398148    57898.490405093
7.1280E18     2.4180E17    4.7869E-12   2.2953E-12    57897.924398148    57898.490405093
7.6530E18     2.8290E17    6.0013E-12   2.5954E-12    57897.924398148    57898.490405093
8.2450E18     3.0950E17    7.7348E-12   2.8278E-12    57897.924398148    57898.490405093
7.9310E17     6.7700E16    1.1288E-11   4.5815E-13    58227.629305556    58228.143194444
9.2850E17     6.7700E16    9.6631E-12   4.0106E-13    58227.629305556    58228.143194444
1.0640E18     6.7700E16    9.1552E-12   3.9199E-13    58227.629305556    58228.143194444
