# RA = 22 02 43.20 (330.68)
# Dec = +42 16 40.00 (42.277778)
# Redshift = 0.0
# nH = 1.75E21 cm^-2 
# NuBlazar (id = 127)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
5.4960E18     7.9240E17    6.6610E-12   4.3154E-12    51848.86591    51850.42889
7.3480E18     1.0590E18    8.2744E-12   6.2063E-12    51848.86591    51850.42889
9.8240E18     1.4160E18    9.0080E-12   8.4869E-12    51848.86591    51850.42889
1.3130E19     1.8930E18    -3.8190E-12   1.3215E-11    51848.86591    51850.42889
1.7560E19     2.5310E18    1.6923E-11   1.3152E-11    51848.86591    51850.42889
1.6860E17     2.4310E16    1.1726E-11   1.8398E-12    51334.33727    51336.54106
2.2540E17     3.2500E16    7.0833E-12   6.7333E-13    51334.33727    51336.54106
3.0140E17     4.3450E16    5.1393E-12   4.3178E-13    51334.33727    51336.54106
4.0290E17     5.8080E16    5.3381E-12   3.7599E-13    51334.33727    51336.54106
5.3860E17     7.7650E16    4.2619E-12   3.0293E-13    51334.33727    51336.54106
7.2010E17     1.0380E17    4.2188E-12   3.3292E-13    51334.33727    51336.54106
9.6270E17     1.3880E17    3.8038E-12   3.4248E-13    51334.33727    51336.54106
1.2870E18     1.8550E17    4.0483E-12   4.4832E-13    51334.33727    51336.54106
1.7210E18     2.4800E17    4.5560E-12   6.6625E-13    51334.33727    51336.54106
2.3000E18     3.3160E17    4.3202E-12   1.1498E-12    51334.33727    51336.54106
3.0750E18     4.4330E17    1.9793E-11   4.8184E-12    51334.33727    51336.54106
4.1110E18     5.9270E17    6.1236E-12   3.2943E-12    51334.33727    51336.54106
5.4960E18     7.9240E17    4.5426E-12   3.7179E-12    51334.33727    51336.54106
7.3480E18     1.0590E18    8.7647E-12   5.5487E-12    51334.33727    51336.54106
9.8240E18     1.4160E18    8.6005E-12   7.3917E-12    51334.33727    51336.54106
1.3130E19     1.8930E18    2.1577E-11   1.1442E-11    51334.33727    51336.54106
1.7560E19     2.5310E18    8.7978E-12   1.1699E-11    51334.33727    51336.54106
2.3470E19     3.3840E18    1.7937E-11   1.4837E-11    51334.33727    51336.54106
3.1380E19     4.5240E18    1.3932E-11   2.5896E-11    51334.33727    51336.54106
4.1950E19     6.0480E18    4.6020E-11   4.3530E-11    51334.33727    51336.54106
1.6860E17     2.4310E16    8.8257E-12   2.9812E-12    50760.01959    50760.6074
2.2540E17     3.2500E16    8.5362E-12   1.4255E-12    50760.01959    50760.6074
3.0140E17     4.3450E16    5.3183E-12   8.6004E-13    50760.01959    50760.6074
4.0290E17     5.8080E16    7.0600E-12   8.4973E-13    50760.01959    50760.6074
5.3860E17     7.7650E16    6.4277E-12   7.3492E-13    50760.01959    50760.6074
7.2010E17     1.0380E17    6.4629E-12   8.1222E-13    50760.01959    50760.6074
9.6270E17     1.3880E17    6.8752E-12   9.0531E-13    50760.01959    50760.6074
1.2870E18     1.8550E17    7.1675E-12   1.1571E-12    50760.01959    50760.6074
1.7210E18     2.4800E17    7.5428E-12   1.6492E-12    50760.01959    50760.6074
2.3000E18     3.3160E17    8.5633E-12   2.9807E-12    50760.01959    50760.6074
# BL Lac (id = 125)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
9.6720E17     0.0000E00    7.0000E-12   2.1920E-13    59705.46527    59713.53611
9.6720E17     0.0000E00    1.1400E-11   4.4000E-13    59767.54861    59769.9743
9.6720E17     0.0000E00    2.0240E-11   1.5360E-12    59910.55208    59913.91736
# VERITAS_2013ApJ_762_92A (id = 124)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
5.4160E25     0.0000E00    1.3586E-10   2.3635E-11    55739.5    55740.5
6.8190E25     0.0000E00    8.3200E-11   1.9112E-11    55739.5    55740.5
8.5840E25     0.0000E00    1.0782E-10   2.1807E-11    55739.5    55740.5
1.0810E26     0.0000E00    3.2973E-11   1.2869E-11    55739.5    55740.5
1.3590E26     0.0000E00    2.1962E-11   1.2145E-11    55739.5    55740.5
# ARGO2LAC (id = 123)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E26 0.0 2.5900E-12   0.0000E00    54405.0    56323.0 ; UPPER LIMIT
# EGRET3 (id = 121)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E22     0.0000E00    2.7683E-11   1.3585E-11    48368.5    49993.5
2.4200E22     0.0000E00    2.2557E-11   9.7404E-12    48368.5    49993.5
2.4200E22     0.0000E00    6.5620E-11   2.3326E-11    48368.5    49993.5
2.4200E22     0.0000E00    2.8452E-11   7.9461E-12    48368.5    49993.5
2.4200E22     0.0000E00    4.7164E-11   2.6145E-11    48368.5    49993.5
2.4200E22     0.0000E00    1.0227E-10   2.9734E-11    48368.5    49993.5
2.4200E22     0.0000E00    3.6655E-11   1.4098E-11    48368.5    49993.5
# EGRET3 (id = 122)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E22 0.0 7.5616E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 4.7933E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 4.7677E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 3.9731E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 7.9974E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 6.5107E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 4.5626E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 9.7917E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 8.6126E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
2.4200E22 0.0 6.8695E-11   0.0000E00    48368.5    49993.5 ; UPPER LIMIT
# SWBAT70M  (14-195 keV) (id = 120)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E18     0.0000E00    9.8809E-12   1.5328E-12    53340.5    55469.5
1.6930E19     0.0000E00    1.0755E-11   1.6683E-12    53340.5    55469.5
# SWBAT105 (14-195 keV) (id = 119)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E18     0.0000E00    1.1411E-11   6.7659E-13    53340.5    56535.5
1.6930E19     0.0000E00    1.3984E-11   8.2916E-13    53340.5    56535.5
# IBISSG4CAT (40-100 keV) (id = 118)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.5290E19     0.0000E00    1.5402E-11   3.0803E-12    52671.5    54557.5
# IBISSG4CAT (20-40 keV) (id = 117)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
6.8390E18     0.0000E00    1.4191E-11   2.1832E-12    52671.5    54557.5
# Fermi3FGL (6Gev) (id = 116)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E24     0.0000E00    1.9865E-11   9.8101E-13    54682.65486    56139.94861
# Fermi3FGL (60Gev) (id = 115)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E25     0.0000E00    8.6095E-12   9.7791E-13    54682.65486    56139.94861
# Fermi3FGL (600 Mev) (id = 114)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4520E23     0.0000E00    3.9396E-11   7.5468E-13    54682.65486    56139.94861
# Fermi3FGL (2Gev) (id = 113)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E23     0.0000E00    2.9532E-11   8.2219E-13    54682.65486    56139.94861
# Fermi3FGL (200 Mev) (id = 112)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.8400E22     0.0000E00    4.6839E-11   9.4247E-13    54682.65486    56139.94861
# Fermi2FglLC (id = 111)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E23     0.0000E00    1.3246E-11   2.3995E-12    54682.7    54713.0
2.4200E23     0.0000E00    1.4564E-11   2.6908E-12    54713.0    54743.4
2.4200E23     0.0000E00    1.2663E-11   2.4411E-12    54743.4    54773.8
2.4200E23     0.0000E00    1.2594E-11   2.4134E-12    54773.8    54804.1
2.4200E23     0.0000E00    1.3163E-11   2.4827E-12    54804.1    54834.5
2.4200E23     0.0000E00    2.0250E-11   2.6908E-12    54834.5    54864.9
2.4200E23     0.0000E00    2.1221E-11   2.9821E-12    54864.9    54895.2
2.4200E23     0.0000E00    1.6228E-11   2.9543E-12    54895.2    54925.6
2.4200E23     0.0000E00    2.5105E-11   3.0098E-12    54925.6    54956.0
